study,year,location,state,site_altitude,region,fungicide,inc_mean_check,inc_mean,yld_mean_check,yld_mean,yld_mse,yld_sd,design
13,2009/2010,Mauá da Serra,PR,909,South,DIMO+BOSC-2,40.6,10,1941,2899,127321.956,502.03,4
13,2009/2010,Mauá da Serra,PR,909,South,FLUO-2,40.6,9.4,1941,2324,127321.956,289.94,4
13,2009/2010,Mauá da Serra,PR,909,South,FLUZ-2,40.6,17.5,1941,2327,127321.956,337.38,4
13,2009/2010,Mauá da Serra,PR,909,South,PROCY-2,40.6,15.6,1941,2627,127321.956,631.27,4
14,2010/2011,Montividiu,GO,921,North,AACHECK-0,43.1,43.1,3013,3013,46277.776,213.5557689,4
14,2010/2011,Montividiu,GO,921,North,DIMO+BOSC-2,43.1,5.3,3013,3622,46277.776,227.658619,4
14,2010/2011,Montividiu,GO,921,North,FLUO-2,43.1,5.8,3013,3664,46277.776,323.9346552,4
14,2010/2011,Montividiu,GO,921,North,FLUZ-2,43.1,3.1,3013,3706,46277.776,215.3749449,4
14,2010/2011,Montividiu,GO,921,North,PROCY-2,43.1,11.9,3013,3566,46277.776,267.9186318,4
15,2010/2011,São Miguel do Passa Quatro,GO,1027,North,AACHECK-0,31.28,31.28,2464,2464,42121.71,116.3468667,4
15,2010/2011,São Miguel do Passa Quatro,GO,1027,North,DIMO+BOSC-2,31.28,9.38,2464,3203,42121.71,267.7465824,4
15,2010/2011,São Miguel do Passa Quatro,GO,1027,North,FLUO-2,31.28,8.8,2464,3237,42121.71,234.5668895,4
15,2010/2011,São Miguel do Passa Quatro,GO,1027,North,FLUZ-2,31.28,9.08,2464,3221,42121.71,121.3696718,4
15,2010/2011,São Miguel do Passa Quatro,GO,1027,North,PROCY-2,31.28,10.63,2464,3236,42121.71,265.0485077,4
16,2010/2011,Silvânia,GO,1050,North,AACHECK-0,36.8,36.8,2935,2935,117429.612,228.3605109,4
16,2010/2011,Silvânia,GO,1050,North,DIMO+BOSC-2,36.8,5.8,2935,4275,117429.612,92.25534882,4
16,2010/2011,Silvânia,GO,1050,North,FLUO-2,36.8,5,2935,4244,117429.612,305.8171205,4
16,2010/2011,Silvânia,GO,1050,North,FLUZ-2,36.8,6,2935,4379,117429.612,332.1027006,4
16,2010/2011,Silvânia,GO,1050,North,PROCY-2,36.8,8.8,2935,4120,117429.612,458.5462146,4
17,2010/2011,Água Fria,GO,891,North,AACHECK-0,36,36,2847,2847,65985.822,254.4137304,4
17,2010/2011,Água Fria,GO,891,North,DIMO+BOSC-2,36,4,2847,3898,65985.822,325.4873711,4
17,2010/2011,Água Fria,GO,891,North,FLUO-2,36,2,2847,3666,65985.822,258.427618,4
17,2010/2011,Água Fria,GO,891,North,FLUZ-2,36,6,2847,4095,65985.822,172.1885018,4
17,2010/2011,Água Fria,GO,891,North,PROCY-2,36,4,2847,2996,65985.822,261.747409,4
18,2010/2011,Ponta Grossa,PR,1021,South,AACHECK-0,64.5,64.5,3652,3652,151705.79,275.9971316,4
18,2010/2011,Ponta Grossa,PR,1021,South,DIMO+BOSC-2,64.5,25,3652,4711,151705.79,460.8109987,4
18,2010/2011,Ponta Grossa,PR,1021,South,FLUO-2,64.5,56.5,3652,3793,151705.79,523.3827037,4
18,2010/2011,Ponta Grossa,PR,1021,South,FLUZ-2,64.5,12.5,3652,4877,151705.79,283.3492973,4
18,2010/2011,Ponta Grossa,PR,1021,South,PROCY-2,64.5,9.3,3652,4403,151705.79,341.6366748,4
19,2010/2011,Marilândia do Sul,PR,868,South,AACHECK-0,15.4,15.4,2725,2725,65985.015,254.4137304,4
19,2010/2011,Marilândia do Sul,PR,868,South,DIMO+BOSC-2,15.4,0.5,2725,3392,65985.015,325.4873711,4
19,2010/2011,Marilândia do Sul,PR,868,South,FLUO-2,15.4,11,2725,2725,65985.015,258.427618,4
19,2010/2011,Marilândia do Sul,PR,868,South,FLUZ-2,15.4,3.4,2725,2665,65985.015,172.1885018,4
19,2010/2011,Marilândia do Sul,PR,868,South,PROCY-2,15.4,2.4,2725,2667,65985.015,261.747409,4
20,2011/2012,São Miguel do Passa Quatro,GO,1027,North,AACHECK-0,42.1,42.1,1986,1986,89704.967,316.9947875,4
20,2011/2012,São Miguel do Passa Quatro,GO,1027,North,DIMO+BOSC-2,42.1,7.8,1986,2366,89704.967,165.5285865,4
20,2011/2012,São Miguel do Passa Quatro,GO,1027,North,FLUO-2,42.1,7.5,1986,2343,89704.967,265.5897304,4
20,2011/2012,São Miguel do Passa Quatro,GO,1027,North,FLUZ-2,42.1,7.8,1986,2226,89704.967,310.5133843,4
20,2011/2012,São Miguel do Passa Quatro,GO,1027,North,PROCY-2,42.1,12.8,1986,2300,89704.967,180.4548634,4
21,2011/2012,Goianira,GO,737,North,AACHECK-0,34.7,34.7,2786,2786,38646.924,70.38735919,4
21,2011/2012,Goianira,GO,737,North,DIMO+BOSC-2,34.7,10.8,2786,3704,38646.924,191.9528426,4
21,2011/2012,Goianira,GO,737,North,FLUO-2,34.7,7.1,2786,3400,38646.924,98.6265498,4
21,2011/2012,Goianira,GO,737,North,FLUZ-2,34.7,15.9,2786,3445,38646.924,109.068243,4
21,2011/2012,Goianira,GO,737,North,PROCY-2,34.7,16.4,2786,3128,38646.924,247.7751115,4
22,2011/2012,Uberlândia,MG,947,North,AACHECK-0,46.3,46.3,2792,2792,74708.673,192.6604677,4
22,2011/2012,Uberlândia,MG,947,North,DIMO+BOSC-2,46.3,23.3,2792,3441,74708.673,375.7457862,4
22,2011/2012,Uberlândia,MG,947,North,FLUO-2,46.3,16.8,2792,3492,74708.673,194.8112735,4
22,2011/2012,Uberlândia,MG,947,North,FLUZ-2,46.3,21,2792,3767,74708.673,76.60323644,4
22,2011/2012,Uberlândia,MG,947,North,PROCY-2,46.3,21,2792,3350,74708.673,280.624304,4
23,2011/2012,Chapadão do Sul,MS,813,North,AACHECK-0,67.5,67.5,2646,2646,172027.208,563.7950923,4
23,2011/2012,Chapadão do Sul,MS,813,North,DIMO+BOSC-2,67.5,8.8,2646,3033,172027.208,305.1099181,4
23,2011/2012,Chapadão do Sul,MS,813,North,FLUO-2,67.5,11.3,2646,3470,172027.208,358.9584201,4
23,2011/2012,Chapadão do Sul,MS,813,North,FLUZ-2,67.5,23.8,2646,3622,172027.208,581.10701,4
23,2011/2012,Chapadão do Sul,MS,813,North,PROCY-2,67.5,13.8,2646,3453,172027.208,516.7800074,4
24,2011/2012,Ponta Grossa,PR,1021,South,AACHECK-0,20.5,20.5,2692,2692,71177.845,170.6493948,4
24,2011/2012,Ponta Grossa,PR,1021,South,DIMO+BOSC-2,20.5,5.5,2692,3318,71177.845,459.4025461,4
24,2011/2012,Ponta Grossa,PR,1021,South,FLUO-2,20.5,5.2,2692,2815,71177.845,91.38496434,4
24,2011/2012,Ponta Grossa,PR,1021,South,FLUZ-2,20.5,8.2,2692,2947,71177.845,42.35531894,4
24,2011/2012,Ponta Grossa,PR,1021,South,PROCY-2,20.5,9.25,2692,2802,71177.845,401.3573489,4
25,2011/2012,Palmeira,PR,820,South,AACHECK-0,55,55,1451,1451,1720.738,40.39317778,4
25,2011/2012,Palmeira,PR,820,South,DIMO+BOSC-2,55,6.3,1451,1941,1720.738,57.61496563,4
25,2011/2012,Palmeira,PR,820,South,FLUO-2,55,7.5,1451,1729,1720.738,54.32839364,4
25,2011/2012,Palmeira,PR,820,South,FLUZ-2,55,11.3,1451,1659,1720.738,65.91742045,4
25,2011/2012,Palmeira,PR,820,South,PROCY-2,55,15,1451,1728,1720.738,50.70761144,4
26,2011/2012,Palmeira,PR,820,South,AACHECK-0,47.5,47.5,1438,1438,6986.295,28.09980012,4
26,2011/2012,Palmeira,PR,820,South,DIMO+BOSC-2,47.5,2.5,1438,1791,6986.295,202.0818701,4
26,2011/2012,Palmeira,PR,820,South,FLUO-2,47.5,2.5,1438,1757,6986.295,23.70375788,4
26,2011/2012,Palmeira,PR,820,South,FLUZ-2,47.5,5,1438,1629,6986.295,75.1868235,4
26,2011/2012,Palmeira,PR,820,South,PROCY-2,47.5,6.25,1438,1733,6986.295,23.08358363,4
27,2011/2012,São Desiderio,BA,844,North,AACHECK-0,100,100,2369,2369,8761.826,39.63029144,4
27,2011/2012,São Desiderio,BA,844,North,DIMO+BOSC-2,100,93.75,2369,3167,8761.826,57.23294506,4
27,2011/2012,São Desiderio,BA,844,North,FLUO-2,100,97.92,2369,3120,8761.826,60.20639501,4
27,2011/2012,São Desiderio,BA,844,North,FLUZ-2,100,85.42,2369,3272,8761.826,46.30345559,4
27,2011/2012,São Desiderio,BA,844,North,PROCY-2,100,89.58,2369,3097,8761.826,23.20689553,4
28,2011/2012,Montividiu,GO,921,North,AACHECK-0,24.38,24.38,3321,3321,33144.363,100.2475724,4
28,2011/2012,Montividiu,GO,921,North,DIMO+BOSC-2,24.38,1.88,3321,4160,33144.363,226.7585162,4
28,2011/2012,Montividiu,GO,921,North,FLUO-2,24.38,3.13,3321,4059,33144.363,266.63179709999997,4
28,2011/2012,Montividiu,GO,921,North,FLUZ-2,24.38,1.88,3321,4114,33144.363,93.27826614,4
28,2011/2012,Montividiu,GO,921,North,PROCY-2,24.38,4.75,3321,4022,33144.363,73.70974454,4
29,2011/2012,Campo Verde,MT,736,North,AACHECK-0,3.65,3.65,2648,2648,85847.102,393.0024685,4
29,2011/2012,Campo Verde,MT,736,North,DIMO+BOSC-2,3.65,0.5,2648,2512,85847.102,98.3691646,4
29,2011/2012,Campo Verde,MT,736,North,FLUO-2,3.65,0.35,2648,2839,85847.102,238.8901886,4
29,2011/2012,Campo Verde,MT,736,North,FLUZ-2,3.65,0.35,2648,2984,85847.102,77.7332477,4
29,2011/2012,Campo Verde,MT,736,North,PROCY-2,3.65,0.35,2648,2827,85847.102,394.3222294,4
30,2011/2012,Faxinal,PR,991,South,AACHECK-0,36.75,36.75,3099,3099,46821.549,160.9094511,4
30,2011/2012,Faxinal,PR,993,South,DIMO+BOSC-2,36.75,11.5,3099,3710,46821.549,368.9657007,4
30,2011/2012,Faxinal,PR,994,South,FLUO-2,36.75,10.25,3099,3927,46821.549,206.2746468,4
30,2011/2012,Faxinal,PR,995,South,FLUZ-2,36.75,17.75,3099,3562,46821.549,251.4821408,4
30,2011/2012,Faxinal,PR,997,South,PROCY-2,36.75,22.75,3099,3644,46821.549,325.5111758,4
31,2011/2012,Capão Bonito,SP,730,South,AACHECK-0,5,5,3656,3656,100117.471,766.9618326,4
31,2011/2012,Capão Bonito,SP,730,South,DIMO+BOSC-2,5,1.5,3656,3692,100117.471,578.729629,4
31,2011/2012,Capão Bonito,SP,730,South,FLUO-2,5,0.5,3656,3675,100117.471,532.2036647,4
31,2011/2012,Capão Bonito,SP,730,South,FLUZ-2,5,1,3656,3814,100117.471,404.8446331,4
31,2011/2012,Capão Bonito,SP,730,South,PROCY-2,5,0.5,3656,3608,100117.471,497.5143979,4
32,2012/2013,Chapadão do Sul,MS,813,North,AACHECK-0,7.5,7.5,4111.81,4111.81,34965.78,221.6684647,4
32,2012/2013,Chapadão do Sul,MS,813,North,DIMO+BOSC-2,7.5,0.5,4111.81,4211.87,34965.78,348.364457,4
32,2012/2013,Chapadão do Sul,MS,813,North,FLUO-2,7.5,0.5,4111.81,4354.93,34965.78,269.2657933,4
32,2012/2013,Chapadão do Sul,MS,813,North,FLUZ-2,7.5,0.5,4111.81,4152.93,34965.78,192.5351175,4
32,2012/2013,Chapadão do Sul,MS,813,North,PROCY-2,7.5,1.25,4111.81,4161.85,34965.78,313.5445724,4
34,2012/2013,Ponta Grossa,PR,1021,South,AACHECK-0,25.94,25.94,2187.38,2187.38,26214.69,203.6333494,3
34,2012/2013,Ponta Grossa,PR,1021,South,DIMO+BOSC-2,25.94,9.06,2187.38,2199.24,26214.69,94.08138931,3
34,2012/2013,Ponta Grossa,PR,1021,South,FLUO-2,25.94,11.25,2187.38,2317.91,26214.69,67.68688649,3
34,2012/2013,Ponta Grossa,PR,1021,South,FLUZ-2,25.94,11.25,2187.38,2129.28,26214.69,172.5175653,3
34,2012/2013,Ponta Grossa,PR,1021,South,PROCY-2,25.94,9.38,2187.38,2236.55,26214.69,189.7361954,3
35,2012/2013,Jataí,GO,749,North,AACHECK-0,12.13,12.13,3167.94,3167.94,113974.07,209.727031,3
35,2012/2013,Jataí,GO,749,North,DIMO+BOSC-2,12.13,0.5,3167.94,3209.4,113974.07,521.7254011,3
35,2012/2013,Jataí,GO,749,North,FLUO-2,12.13,1.63,3167.94,3198.37,113974.07,207.5021429,3
35,2012/2013,Jataí,GO,749,North,FLUZ-2,12.13,0.75,3167.94,3065.35,113974.07,270.6943529,3
35,2012/2013,Jataí,GO,749,North,PROCY-2,12.13,1.75,3167.94,3331.61,113974.07,200.5123055,3
36,2012/2013,São Miguel do Passa Quatro,GO,1027,North,AACHECK-0,7.23,7.23,1872.39,1872.39,137943.42,378.2327071,3
36,2012/2013,São Miguel do Passa Quatro,GO,1027,North,DIMO+BOSC-2,7.23,0.33,1872.39,2380.15,137943.42,473.3703446,3
36,2012/2013,São Miguel do Passa Quatro,GO,1027,North,FLUO-2,7.23,0.33,1872.39,2506.97,137943.42,92.42418445,3
36,2012/2013,São Miguel do Passa Quatro,GO,1027,North,FLUZ-2,7.23,0.33,1872.39,2483.6,137943.42,350.9889193,3
36,2012/2013,São Miguel do Passa Quatro,GO,1027,North,PROCY-2,7.23,0.65,1872.39,2337.42,137943.42,330.5720281,3
37,2012/2013,Faxinal,PR,820,South,AACHECK-0,58.25,58.25,3393.33,3393.33,153279.48,188.5283548,3
37,2012/2013,Faxinal,PR,820,South,DIMO+BOSC-2,58.25,19,3393.33,4163.59,153279.48,445.863306,3
37,2012/2013,Faxinal,PR,820,South,FLUO-2,58.25,22,3393.33,4036.01,153279.48,250.1845836,3
37,2012/2013,Faxinal,PR,820,South,FLUZ-2,58.25,40.75,3393.33,3936.61,153279.48,317.0694922,3
37,2012/2013,Faxinal,PR,820,South,PROCY-2,58.25,42,3393.33,3781.97,153279.48,280.8644179,3
38,2012/2013,Uberlândia,MG,947,North,AACHECK-0,21.68,21.68,2988.75,2988.75,13242.53,29.54516317,3
38,2012/2013,Uberlândia,MG,947,North,DIMO+BOSC-2,21.68,8.8,2988.75,3053.75,13242.53,61.09214352,3
38,2012/2013,Uberlândia,MG,947,North,FLUO-2,21.68,0.5,2988.75,3410,13242.53,189.7805751,3
38,2012/2013,Uberlândia,MG,947,North,FLUZ-2,21.68,0.5,2988.75,3287,13242.53,182.3439973,3
38,2012/2013,Uberlândia,MG,947,North,PROCY-2,21.68,1.25,2988.75,3250,13242.53,127.2792206,3
39,2012/2013,Ponta Grossa,PR,1021,South,AACHECK-0,14.69,14.69,4525.89,4525.89,63444.33,338.2177291,3
39,2012/2013,Ponta Grossa,PR,1021,South,DIMO+BOSC-2,14.69,0.94,4525.89,5133.31,63444.33,305.2877818,3
39,2012/2013,Ponta Grossa,PR,1021,South,FLUO-2,14.69,4.69,4525.89,4959.05,63444.33,483.9105071,3
39,2012/2013,Ponta Grossa,PR,1021,South,FLUZ-2,14.69,3.13,4525.89,5033.51,63444.33,404.0257316,3
39,2012/2013,Ponta Grossa,PR,1021,South,PROCY-2,14.69,3.75,4525.89,4892.34,63444.33,115.9467325,3
40,2013/2014,Chapadão do Sul,MS,813,North,AACHECK-0,16.25,16.25,3279.33,3279.33,61232.22,201.7064967,1
40,2013/2014,Chapadão do Sul,MS,813,North,DIMO+BOSC-2,16.25,0.5,3279.33,3759.22,61232.22,292.5930435,1
40,2013/2014,Chapadão do Sul,MS,813,North,FLUO-2,16.25,3.75,3279.33,3565.29,61232.22,215.5200482,1
40,2013/2014,Chapadão do Sul,MS,813,North,FLUZ-2,16.25,7.5,3279.33,3613.89,61232.22,302.0163847,1
40,2013/2014,Chapadão do Sul,MS,813,North,PROCY-2,16.25,3.75,3279.33,3650.65,61232.22,179.7978885,1
41,2013/2014,Montividiu,GO,921,North,AACHECK-0,15,15,3236.64,3236.64,52647,354.3128059,1
41,2013/2014,Montividiu,GO,921,North,DIMO+BOSC-2,15,1.5,3236.64,3622.1,52647,192.3171975,1
41,2013/2014,Montividiu,GO,921,North,FLUO-2,15,3.5,3236.64,3458.91,52647,213.5270841,1
41,2013/2014,Montividiu,GO,921,North,FLUZ-2,15,1,3236.64,3683.93,52647,199.058002,1
41,2013/2014,Montividiu,GO,921,North,PROCY-2,15,2.25,3236.64,3499.46,52647,341.7212013,1
42,2013/2014,Mauá da Serra,PR,909,South,AACHECK-0,33.25,33.25,3494.81,3494.81,81886.32,143.1347754,1
42,2013/2014,Mauá da Serra,PR,909,South,DIMO+BOSC-2,33.25,1,3494.81,4228.5,81886.32,169.0442474,1
42,2013/2014,Mauá da Serra,PR,909,South,FLUO-2,33.25,0.75,3494.81,4145.06,81886.32,88.67040105,1
42,2013/2014,Mauá da Serra,PR,909,South,FLUZ-2,33.25,2.5,3494.81,3803.63,81886.32,389.0418168,1
42,2013/2014,Mauá da Serra,PR,909,South,PROCY-2,33.25,1.25,3494.81,3782.62,81886.32,265.3175534,1
43,2013/2014,Ponta Grossa,PR,1021,South,AACHECK-0,41.25,41.25,2602.4,2602.4,53070.66,390.6834629,1
43,2013/2014,Ponta Grossa,PR,1021,South,DIMO+BOSC-2,41.25,11.88,2602.4,2633.48,53070.66,178.3329693,1
43,2013/2014,Ponta Grossa,PR,1021,South,FLUO-2,41.25,15.63,2602.4,2964.61,53070.66,332.3629021,1
43,2013/2014,Ponta Grossa,PR,1021,South,FLUZ-2,41.25,11.25,2602.4,2994.86,53070.66,216.7520163,1
43,2013/2014,Ponta Grossa,PR,1021,South,PROCY-2,41.25,8.44,2602.4,2939.68,53070.66,178.2430651,1
44,2013/2014,Ponta Grossa,PR,1021,South,AACHECK-0,10.5,10.5,2301.59,2301.59,45439.64,243.0090142,1
44,2013/2014,Ponta Grossa,PR,1021,South,DIMO+BOSC-2,10.5,1.5,2301.59,3526.73,45439.64,331.7825324,1
44,2013/2014,Ponta Grossa,PR,1021,South,FLUO-2,10.5,2.25,2301.59,2840.67,45439.64,244.2340508,1
44,2013/2014,Ponta Grossa,PR,1021,South,FLUZ-2,10.5,3.5,2301.59,3284.37,45439.64,76.22566125,1
44,2013/2014,Ponta Grossa,PR,1021,South,PROCY-2,10.5,2.75,2301.59,3185.27,45439.64,101.912187,1
45,2014/2015,Rio Verde,GO,921,North,AACHECK-0,27.25,27.25,3757.15,3757.15,33928.18,50.97076744,1
45,2014/2015,Rio Verde,GO,921,North,DIMO+BOSC-2,27.25,3.63,3757.15,4261.61,33928.18,87.46996027,1
45,2014/2015,Rio Verde,GO,921,North,FLUO-2,27.25,5.88,3757.15,4205.54,33928.18,176.6264788,1
45,2014/2015,Rio Verde,GO,921,North,FLUZ-2,27.25,5.5,3757.15,4231.36,33928.18,68.70833297,1
45,2014/2015,Rio Verde,GO,921,North,PROCY-2,27.25,13.88,3757.15,4044.82,33928.18,279.2630085,1
46,2014/2015,Ponta Grossa,PR,1021,South,AACHECK-0,26.88,26.88,4042.64,4042.64,100104.95,575.7455965,1
46,2014/2015,Ponta Grossa,PR,1021,South,DIMO+BOSC-2,26.88,4.06,4042.64,4583.63,100104.95,480.2161704,1
46,2014/2015,Ponta Grossa,PR,1021,South,FLUO-2,26.88,5.94,4042.64,4198.07,100104.95,350.3923246,1
46,2014/2015,Ponta Grossa,PR,1021,South,FLUZ-2,26.88,6.25,4042.64,4344.22,100104.95,738.1087533,1
46,2014/2015,Ponta Grossa,PR,1021,South,PROCY-2,26.88,11.72,4042.64,4154.03,100104.95,310.7601214,1
47,2014/2015,Montividiu,GO,921,North,AACHECK-0,4.06,4.06,3468.1,3468.1,33928.18,123.9678806,1
47,2014/2015,Montividiu,GO,921,North,DIMO+BOSC-2,4.06,1.56,3468.1,3881.22,33928.18,82.7947096,1
47,2014/2015,Montividiu,GO,921,North,FLUO-2,4.06,1.56,3468.1,3745.41,33928.18,98.17217271,1
47,2014/2015,Montividiu,GO,921,North,FLUZ-2,4.06,0.63,3468.1,4037.5,33928.18,181.5918572,1
47,2014/2015,Montividiu,GO,921,North,PROCY-2,4.06,1.09,3468.1,4029.32,33928.18,303.451123,1
48,2014/2015,Mauá da Serra,PR,909,South,AACHECK-0,10.75,10.75,3963.96,3963.96,59776.59,119.334465,1
48,2014/2015,Mauá da Serra,PR,909,South,DIMO+BOSC-2,10.75,1.25,3963.96,4796.58,59776.59,170.2287545,1
48,2014/2015,Mauá da Serra,PR,909,South,FLUO-2,10.75,0.25,3963.96,5099.09,59776.59,301.7179158,1
48,2014/2015,Mauá da Serra,PR,909,South,FLUZ-2,10.75,2.75,3963.96,4645.14,59776.59,191.6632729,1
48,2014/2015,Mauá da Serra,PR,909,South,PROCY-2,10.75,2.75,3963.96,4595.54,59776.59,322.5367572,1
49,2015/2016,Montividiu,GO,921,North,AACHECK-0,36.25,36.25,3362.93,3362.93,62701.1,156.4940977,1
49,2015/2016,Montividiu,GO,921,North,DIMO+BOSC-2,36.25,2,3362.93,3894.54,62701.1,81.41537071,1
